Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Fname,Customer Id,Customer Lname,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode
TRANSFER,1,0,108.85,226.76,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Mary,8951,Baker,Home Office,PR,7121 Lost Plaza,725.0,4,Apparel,18.26641274,-66.37063599,LATAM,Rio Grande,Brasil,8951,13.2,0.06,59.99,0.48,4,239.96,226.76,108.85,South America,Rio Grande do Sul,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Same Day
TRANSFER,3,2,5.04,168.0,Late delivery,1,24,Women's Apparel,Anaheim,EE. UU.,Brian,4582,House,Consumer,CA,5344 Wishing Acres,92801.0,5,Golf,33.84394455,-117.9417572,Europe,Cologne,Alemania,4582,32.0,0.16,50.0,0.03,4,200.0,168.0,5.04,Western Europe,Renania del Norte-Westfalia,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class
CASH,3,4,-314.86,377.98,Advance shipping,0,45,Fishing,Santa Clara,EE. UU.,Margaret,883,Ayala,Consumer,CA,6772 Old Shadow Dell,95051.0,7,Fan Shop,34.03268433,-117.7098389,LATAM,Panama City,Panamá,883,22.0,0.06,399.98,-0.83,1,399.98,377.98,-314.86,Central America,Panamá,CLOSED,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
DEBIT,6,2,55.77,199.17,Late delivery,1,17,Cleats,Detroit,EE. UU.,Olivia,6177,Bradford,Consumer,MI,7983 Iron Grounds,48238.0,4,Apparel,42.39110184,-83.13121796,USCA,Daytona Beach,Estados Unidos,6177,40.79,0.17,59.99,0.28,4,239.96,199.17,55.77,South of  USA ,Florida,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Second Class
DEBIT,3,4,65.52,136.5,Advance shipping,0,24,Women's Apparel,Bowling Green,EE. UU.,Cheryl,7755,Smith,Consumer,KY,8267 Burning Branch Way,42101.0,5,Golf,36.80892944,-86.30784607,LATAM,Facatativá,Colombia,7755,13.5,0.09,50.0,0.48,3,150.0,136.5,65.52,South America,Cundinamarca,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
DEBIT,4,2,1.29,107.89,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Linda,4597,Smith,Consumer,PR,5628 Clear Knoll,725.0,4,Apparel,18.24035835,-66.37055969,USCA,Raleigh,Estados Unidos,4597,22.1,0.17,129.99,0.01,1,129.99,107.89,1.29,South of  USA ,Carolina del Norte,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
TRANSFER,5,4,9.84,245.98,Late delivery,1,43,Camping & Hiking,Grove City,EE. UU.,Alexander,6135,Smith,Consumer,OH,4786 Bright Dale Downs,43123.0,7,Fan Shop,39.86354828,-83.10940552,Europe,Pitesti,Rumania,6135,54.0,0.18,299.98,0.04,1,299.98,245.98,9.84,Eastern Europe,Arges,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class
TRANSFER,2,4,56.53,217.41,Advance shipping,0,46,Indoor/Outdoor Games,Los Angeles,EE. UU.,Victoria,3392,Pham,Home Office,CA,6231 Fallen Range,90032.0,7,Fan Shop,34.0816536,-118.1783524,USCA,Vaughan,Canada,3392,32.49,0.13,49.98,0.26,5,249.9,217.41,56.53,Canada,Ontario,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
DEBIT,2,1,-75.11,327.98,Late delivery,1,45,Fishing,Caguas,Puerto Rico,James,9801,Smith,Corporate,PR,1143 Quaking Brook Alley,725.0,7,Fan Shop,18.2550354,-66.37055206,Europe,Laon,Francia,9801,72.0,0.18,399.98,-0.23,1,399.98,327.98,-75.11,Western Europe,Norte-Paso de Calais-Picardía,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class
PAYMENT,5,4,47.93,101.98,Late delivery,1,17,Cleats,Miami,EE. UU.,Rose,7336,Lyons,Consumer,FL,75 Sunny Grounds,33177.0,4,Apparel,25.1057148,-80.43122101,LATAM,Dos Quebradas,Colombia,7336,18.0,0.15,59.99,0.47,2,119.98,101.98,47.93,South America,Risaralda,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
CASH,2,1,10.85,95.98,Late delivery,1,17,Cleats,Phoenix,EE. UU.,Aaron,1573,Norman,Consumer,AZ,830 Quaking Bear Grounds,85009.0,4,Apparel,33.45198822,-112.1262131,USCA,Aurora,Estados Unidos,1573,24.0,0.2,59.99,0.11,2,119.98,95.98,10.85,West of USA ,Colorado,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,First Class
DEBIT,4,2,41.0,107.89,Late delivery,1,18,Men's Footwear,Forest Hills,EE. UU.,Michael,4300,Lucas,Corporate,NY,7861 Grand Point,11375.0,4,Apparel,42.08637619,-76.85916138,Pacific Asia,Xiamen,China,4300,22.1,0.17,129.99,0.38,1,129.99,107.89,41.0,Eastern Asia,Fujian,ON_HOLD,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
PAYMENT,2,1,34.79,119.95,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Julia,1824,Tucker,Home Office,PR,9074 Rustic Parade,725.0,7,Fan Shop,18.25771141,-66.37058258,LATAM,Managua,Nicaragua,1824,29.99,0.2,49.98,0.29,3,149.94,119.95,34.79,Central America,Managua,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,First Class
TRANSFER,5,4,123.41,339.98,Late delivery,1,45,Fishing,New Braunfels,EE. UU.,Mary,3848,Smith,Home Office,TX,5776 Hidden Cider Subdivision,78130.0,7,Fan Shop,29.69708443,-98.12406158,Africa,Port Harcourt,Nigeria,3848,60.0,0.15,399.98,0.36,1,399.98,339.98,123.41,West Africa,Ríos,PROCESSING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
DEBIT,4,2,81.0,299.99,Late delivery,1,45,Fishing,Caguas,Puerto Rico,Mary,10036,Smith,Consumer,PR,3345 Heather Inlet,725.0,7,Fan Shop,18.26760674,-66.37059021,Pacific Asia,Kakinada,India,10036,100.0,0.25,399.98,0.27,1,399.98,299.99,81.0,South Asia,Andhra Pradesh,COMPLETE,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Second Class
DEBIT,2,1,18.99,379.71,Late delivery,1,62,Cameras ,Newark,EE. UU.,Naida,13532,Holloway,Consumer,DE,9175 Blue Lookout,19711.0,10,Technology,39.67436981,-75.76576996,Europe,Tarragona,España,13532,72.33,0.16,452.04,0.05,1,452.04,379.71,18.99,Southern Europe,Cataluña,COMPLETE,Web Camera,452.04,First Class
DEBIT,2,1,18.2,181.99,Late delivery,1,48,Water Sports,Hesperia,EE. UU.,Mary,3527,Smith,Consumer,CA,4770 Blue Pines,92345.0,7,Fan Shop,34.42259598,-117.303566,Pacific Asia,Hyderabad,India,3527,18.0,0.09,199.99,0.1,1,199.99,181.99,18.2,South Asia,Telangana,COMPLETE,Pelican Sunstream 100 Kayak,199.99,First Class
DEBIT,3,2,-119.99,299.97,Late delivery,1,9,Cardio Equipment,Lake Forest,EE. UU.,Ann,5557,Smith,Home Office,CA,2792 Stony Range,92630.0,3,Footwear,39.18449783,-120.1139069,Europe,Cavaillon,Francia,5557,0.0,0.0,99.99,-0.4,3,299.97,299.97,-119.99,Western Europe,Provenza-Alpes-Costa Azul,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class
PAYMENT,5,4,45.77,126.09,Late delivery,1,18,Men's Footwear,Santa Cruz,EE. UU.,Mary,7445,Smith,Consumer,CA,7342 Hidden Walk,95060.0,4,Apparel,36.97051239,-122.0238266,Europe,Guadalajara,España,7445,3.9,0.03,129.99,0.36,1,129.99,126.09,45.77,Southern Europe,Castilla-La Mancha,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
TRANSFER,1,0,36.0,359.98,Late delivery,1,45,Fishing,North Tonawanda,EE. UU.,Joyce,12383,Phillips,Consumer,NY,9899 Hazy Falls,14120.0,7,Fan Shop,43.02910233,-78.87342072,Europe,Nottingham,Reino Unido,12383,40.0,0.1,399.98,0.1,1,399.98,359.98,36.0,Northern Europe,Inglaterra,PENDING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Same Day
PAYMENT,2,4,-278.37,173.98,Advance shipping,0,9,Cardio Equipment,Walnut,EE. UU.,Mary,9805,Camacho,Consumer,CA,8675 Little Arbor,91789.0,3,Footwear,33.88021851,-118.1467438,Pacific Asia,Bagdad,Irak,9805,26.0,0.13,99.99,-1.6,2,199.98,173.98,-278.37,West Asia,Bagdad,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class
PAYMENT,6,2,24.0,239.98,Late delivery,1,43,Camping & Hiking,Anaheim,EE. UU.,Michael,2675,Reynolds,Consumer,CA,5709 Old Vista,92804.0,7,Fan Shop,33.82387161,-118.0073929,LATAM,Tijuana,México,2675,60.0,0.2,299.98,0.1,1,299.98,239.98,24.0,Central America,Baja California,PENDING_PAYMENT,Diamondback Women's Serene Classic Comfort Bi,299.98,Second Class
DEBIT,6,4,-32.75,163.77,Late delivery,1,17,Cleats,Honolulu,EE. UU.,Michael,4010,Smith,Corporate,HI,1207 Green Anchor Arbor,96822.0,4,Apparel,21.30562019,-157.8386993,Europe,Oosterhout,Países Bajos,4010,16.2,0.09,59.99,-0.2,3,179.97,163.77,-32.75,Western Europe,Brabante Septentrional,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
DEBIT,3,4,19.11,91.0,Advance shipping,0,24,Women's Apparel,Denver,EE. UU.,Mary,12072,Stevens,Consumer,CO,3422 Jagged Willow Way,80231.0,5,Golf,39.65523911,-104.8748703,Europe,Zurich,Suiza,12072,9.0,0.09,50.0,0.21,2,100.0,91.0,19.11,Western Europe,Zúrich,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
DEBIT,4,2,37.68,209.35,Late delivery,1,76,Women's Clothing,York,EE. UU.,Christen,17486,Delaney,Corporate,PA,8323 Heather Cape,17402.0,4,Apparel,39.9602356,-76.67675781,Pacific Asia,Medan,Indonesia,17486,6.47,0.03,215.82,0.18,1,215.82,209.35,37.68,Southeast Asia,Sumatra Septentrional,COMPLETE,Summer dresses,215.82,Second Class
PAYMENT,4,4,67.47,149.94,Shipping on time,0,46,Indoor/Outdoor Games,El Paso,EE. UU.,Matthew,9502,Love,Home Office,TX,9140 Clear Concession,79924.0,7,Fan Shop,31.89463425,-106.4120712,Europe,Dordrecht,Países Bajos,9502,49.98,0.25,49.98,0.45,4,199.92,149.94,67.47,Western Europe,Holanda Meridional,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
TRANSFER,4,4,49.48,131.95,Shipping on time,0,46,Indoor/Outdoor Games,Brooklyn,EE. UU.,Mary,5267,Smith,Corporate,NY,7683 Sunny Sky Field,11215.0,7,Fan Shop,40.66889191,-73.98190308,Pacific Asia,Caloundra,Australia,5267,17.99,0.12,49.98,0.38,3,149.94,131.95,49.48,Oceania,Queensland,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
TRANSFER,2,1,47.51,143.98,Shipping canceled,0,17,Cleats,Jacksonville,EE. UU.,Mary,3032,Wilson,Consumer,NC,7790 Misty Elk Line,28540.0,4,Apparel,34.74834824,-77.42848206,Europe,Zurich,Suiza,3032,35.99,0.2,59.99,0.33,3,179.97,143.98,47.51,Western Europe,Zúrich,CANCELED,Perfect Fitness Perfect Rip Deck,59.99,First Class
TRANSFER,2,2,31.2,97.49,Shipping on time,0,18,Men's Footwear,North Tonawanda,EE. UU.,Shirley,10619,Smith,Corporate,NY,5484 Jagged Pioneer Promenade,14120.0,4,Apparel,43.02910233,-78.87342072,Europe,Catania,Italia,10619,32.5,0.25,129.99,0.32,1,129.99,97.49,31.2,Southern Europe,Sicilia,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
TRANSFER,6,4,7.68,76.78,Late delivery,1,37,Electronics,Caguas,Puerto Rico,Mary,5624,Mata,Consumer,PR,7353 Round Spring Chase,725.0,6,Outdoors,18.29422379,-66.37052155,Africa,Algiers,Argelia,5624,19.19,0.2,31.99,0.1,3,95.97,76.78,7.68,North Africa,Alger,PROCESSING,Bridgestone e6 Straight Distance NFL San Dieg,31.99,Standard Class
DEBIT,2,1,53.23,118.29,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Madison,3568,Smith,Home Office,PR,3926 Stony Gardens,725.0,4,Apparel,18.2995224,-66.37060547,LATAM,Guantánamo,Cuba,3568,11.7,0.09,129.99,0.45,1,129.99,118.29,53.23,Caribbean,Guantánamo,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class
DEBIT,2,4,87.85,292.82,Advance shipping,0,63,Children's Clothing,Frankfort,EE. UU.,Lacota,13864,Cooley,Home Office,KY,4311 Old Edge,40601.0,4,Apparel,38.11861801,-84.96742249,Europe,Valladolid,España,13864,64.28,0.18,357.1,0.3,1,357.1,292.82,87.85,Southern Europe,Castilla y León,ON_HOLD,Children's heaters,357.1,Standard Class
TRANSFER,6,2,54.22,126.09,Late delivery,1,18,Men's Footwear,Hayward,EE. UU.,Mary,4199,Smith,Corporate,CA,4720 Noble Hills Wynd,94544.0,4,Apparel,37.67551041,-122.0496826,Pacific Asia,Depok,Indonesia,4199,3.9,0.03,129.99,0.43,1,129.99,126.09,54.22,Southeast Asia,Java Occidental,PENDING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class
CASH,3,4,44.18,167.99,Advance shipping,0,48,Water Sports,Tinley Park,EE. UU.,Steven,4069,Smith,Corporate,IL,6289 Tawny Range,60477.0,7,Fan Shop,41.55490494,-87.8025589,LATAM,Tlalnepantla,México,4069,32.0,0.16,199.99,0.26,1,199.99,167.99,44.18,Central America,México,CLOSED,Pelican Sunstream 100 Kayak,199.99,Standard Class
TRANSFER,4,4,65.34,179.99,Shipping on time,0,48,Water Sports,Caguas,Puerto Rico,Brenda,12195,Moyer,Corporate,PR,952 Pleasant Bluff Pines,725.0,7,Fan Shop,18.2187748,-66.37056732,LATAM,Barranquilla,Colombia,12195,20.0,0.1,199.99,0.36,1,199.99,179.99,65.34,South America,Atlántico,PENDING,Pelican Sunstream 100 Kayak,199.99,Standard Class
TRANSFER,2,1,-265.99,379.98,Late delivery,1,45,Fishing,Phoenix,EE. UU.,Patrick,10010,Diaz,Corporate,AZ,1400 Silent Run,85033.0,7,Fan Shop,33.4926796,-112.2088623,LATAM,Resistencia,Argentina,10010,20.0,0.05,399.98,-0.7,1,399.98,379.98,-265.99,South America,Chaco,PROCESSING,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class
DEBIT,2,4,69.74,278.95,Advance shipping,0,17,Cleats,Sacramento,EE. UU.,Mary,7141,Jackson,Corporate,CA,7760 Golden Limits,95822.0,4,Apparel,38.49541855,-121.479187,LATAM,Chincha Alta,Perú,7141,21.0,0.07,59.99,0.25,5,299.95,278.95,69.74,South America,Ica,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
PAYMENT,2,1,33.77,107.89,Late delivery,1,18,Men's Footwear,Glendale,EE. UU.,William,5976,Estrada,Home Office,AZ,2584 Round Square,85308.0,4,Apparel,33.66019821,-112.1931229,Pacific Asia,Melbourne,Australia,5976,22.1,0.17,129.99,0.31,1,129.99,107.89,33.77,Oceania,Victoria,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,First Class
TRANSFER,3,4,73.58,159.96,Advance shipping,0,29,Shop By Sport,Caguas,Puerto Rico,Mary,7360,Smith,Consumer,PR,6232 Red Rise Rise,725.0,5,Golf,18.27698326,-66.37052918,LATAM,San Francisco de Macorís,República Dominicana,7360,0.0,0.0,39.99,0.46,4,159.96,159.96,73.58,Caribbean,Duarte,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class
TRANSFER,6,2,77.0,220.0,Late delivery,1,24,Women's Apparel,Bellingham,EE. UU.,Mary,10894,Castillo,Home Office,WA,9133 Cotton Robin Vale,98226.0,5,Golf,48.77095795,-122.4511185,LATAM,Calabozo,Venezuela,10894,30.0,0.12,50.0,0.35,5,250.0,220.0,77.0,South America,Guárico,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class
PAYMENT,6,2,30.0,299.95,Late delivery,1,17,Cleats,Sugar Land,EE. UU.,Hannah,9432,Smith,Corporate,TX,5579 Quiet Nectar Circuit,77479.0,4,Apparel,26.23747635,-98.09152985,LATAM,Yaritagua,Venezuela,9432,0.0,0.0,59.99,0.1,5,299.95,299.95,30.0,South America,Yaracuy,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Second Class
TRANSFER,3,4,12.28,139.5,Advance shipping,0,24,Women's Apparel,Ontario,EE. UU.,Hannah,2553,Ellison,Consumer,CA,4720 Noble Hills Wynd,91764.0,5,Golf,34.07656479,-117.61409,Europe,Argenteuil,Francia,2553,10.5,0.07,50.0,0.09,3,150.0,139.5,12.28,Western Europe,Isla de Francia,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class
CASH,2,1,178.55,371.98,Late delivery,1,45,Fishing,Caguas,Puerto Rico,Mary,7918,Kemp,Corporate,PR,2070 Crystal Timber Gardens,725.0,7,Fan Shop,18.24737358,-66.37050629,Pacific Asia,Tongchuan,China,7918,28.0,0.07,399.98,0.48,1,399.98,371.98,178.55,Eastern Asia,Sichuan,CLOSED,Field & Stream Sportsman 16 Gun Fire Safe,399.98,First Class
PAYMENT,2,4,35.1,129.99,Advance shipping,0,18,Men's Footwear,Chino,EE. UU.,Mary,6126,Smith,Consumer,CA,191 Iron Leaf Point,91710.0,4,Apparel,34.03118897,-117.6896515,Pacific Asia,Probolinggo,Indonesia,6126,0.0,0.0,129.99,0.27,1,129.99,129.99,35.1,Southeast Asia,Java Oriental,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
PAYMENT,2,4,123.03,363.98,Advance shipping,0,45,Fishing,Caguas,Puerto Rico,Rachel,2827,Weaver,Corporate,PR,4411 Cotton Wynd,725.0,7,Fan Shop,18.27799797,-66.37056732,LATAM,Recife,Brasil,2827,36.0,0.09,399.98,0.34,1,399.98,363.98,123.03,South America,Pernambuco,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class
CASH,0,0,32.03,114.39,Shipping on time,0,18,Men's Footwear,West Chester,EE. UU.,Barbara,4074,Smith,Corporate,PA,5579 Quiet Nectar Circuit,19382.0,4,Apparel,39.96621323,-75.53662109,Europe,Marseille,Francia,4074,15.6,0.12,129.99,0.28,1,129.99,114.39,32.03,Western Europe,Provenza-Alpes-Costa Azul,CLOSED,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Same Day
CASH,4,2,-4.0,9.99,Late delivery,1,35,Golf Gloves,Caguas,Puerto Rico,Mary,2242,Johnson,Consumer,PR,7258 Grand Pond Acres,725.0,6,Outdoors,18.29656792,-66.37059784,USCA,Lodi,Estados Unidos,2242,0.0,0.0,9.99,-0.4,1,9.99,9.99,-4.0,West of USA ,California,CLOSED,Clicgear 8.0 Shoe Brush,9.99,Second Class
DEBIT,2,4,48.75,97.49,Advance shipping,0,18,Men's Footwear,Florissant,EE. UU.,Gary,12041,Oneal,Consumer,MO,372 Sunny Arbor,63033.0,4,Apparel,38.80710983,-90.29780579,Pacific Asia,Surabaya,Indonesia,12041,32.5,0.25,129.99,0.5,1,129.99,97.49,48.75,Southeast Asia,Java Oriental,ON_HOLD,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class
DEBIT,5,4,26.45,125.95,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Helen,12117,Smith,Home Office,PR,2789 Honey Cove,725.0,7,Fan Shop,18.22816658,-66.37063599,Europe,Estocolmo,Suecia,12117,23.99,0.16,49.98,0.21,3,149.94,125.95,26.45,Northern Europe,Estocolmo,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Standard Class
TRANSFER,4,2,84.47,249.9,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Mary,5015,Gutierrez,Corporate,PR,6724 High Chase,725.0,7,Fan Shop,18.23696327,-66.3705368,Pacific Asia,Sydney,Australia,5015,0.0,0.0,49.98,0.34,5,249.9,249.9,84.47,Oceania,Nueva Gales del Sur,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class
DEBIT,4,4,-76.97,87.96,Shipping on time,0,38,Kids' Golf Clubs,Caguas,Puerto Rico,Mary,2586,Little,Consumer,PR,1407 Cinder Downs,725.0,6,Outdoors,18.2699337,-66.37049866,Europe,Lund,Suecia,2586,21.99,0.2,109.95,-0.88,1,109.95,87.96,-76.97,Northern Europe,Escania,COMPLETE,Polar Loop Activity Tracker,109.95,Standard Class
PAYMENT,4,4,26.4,161.97,Shipping on time,0,17,Cleats,Saint Louis,EE. UU.,Mary,11574,Guzman,Consumer,MO,9317 Emerald Route,63129.0,4,Apparel,38.48856354,-90.34738159,Europe,Erlangen,Alemania,11574,18.0,0.1,59.99,0.16,3,179.97,161.97,26.4,Western Europe,Bavaria,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class
